"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"w c"|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,W.C.,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|"W.C. ""lavatory,"" 1954, abbreviation of water closet."
"w c s"|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,W.C.,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|""
"w k"|"acclaimed,big,eminent,famed,glorious,great,high-powered,illustrious,immortal,important,large,notable,number one,outstanding,popular,preeminent,prominent,renowned,storied,well-known,lionized,revered,laureate,numero uno,up there"|"inglorious,unknown,obscure,plain,inexalted"|"celebrated"|""
"w. c."|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,W.C.,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|"W.C. ""lavatory,"" 1954, abbreviation of water closet."
"w. c. s"|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,W.C.,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|""
"w. k"|"acclaimed,big,eminent,famed,glorious,great,high-powered,illustrious,immortal,important,large,notable,number one,outstanding,popular,preeminent,prominent,renowned,storied,well-known,lionized,revered,laureate,numero uno,up there"|"inglorious,unknown,obscure,plain,inexalted"|"celebrated"|""
"W.C."|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|"W.C. ""lavatory,"" 1954, abbreviation of water closet."
"w.c.s"|"latrine,outhouse,lavatory,throne,head,commode,privy,can,comfort station,powder room,restroom,washroom,W.C.,potty,john,garderobe,water closet,gentlemen's room,ladies' room,little boy's room,little girl's room,men's room,women's room"|""|"toilet"|""
"W3"|"cyberspace,World Wide Web,information superhighway,WWW,ARPANET,hyperspace,infobahn,information highway,National Information Infrastructure,online network,the Net,the Web"|""|"Internet"|""
"w3s"|"cyberspace,World Wide Web,information superhighway,WWW,ARPANET,W3,hyperspace,infobahn,information highway,National Information Infrastructure,online network,the Net,the Web"|""|"Internet"|""
